,:START_ID,:END_ID,relation,:TYPE
122,HN4042,GJ8,channel_tropism,channel_tropism
123,HN4042,GJ2,channel_tropism,channel_tropism
124,HN8499,GJ9,channel_tropism,channel_tropism
125,HN8499,GJ8,channel_tropism,channel_tropism
126,HN8499,GJ1,channel_tropism,channel_tropism
127,HN4529,GJ7,channel_tropism,channel_tropism
128,HN4529,GJ6,channel_tropism,channel_tropism
129,HN4529,GJ3,channel_tropism,channel_tropism
130,HN4529,GJ10,channel_tropism,channel_tropism
131,HN8291,GJ5,channel_tropism,channel_tropism
132,HN8291,GJ2,channel_tropism,channel_tropism
133,HN7629,GJ5,channel_tropism,channel_tropism
134,HN7629,GJ3,channel_tropism,channel_tropism
135,HN7629,GJ2,channel_tropism,channel_tropism
136,HN7629,GJ1,channel_tropism,channel_tropism
137,HN2986,GJ2,channel_tropism,channel_tropism
138,HN2986,GJ10,channel_tropism,channel_tropism
139,HN7253,GJ4,channel_tropism,channel_tropism
140,HN7253,GJ2,channel_tropism,channel_tropism
141,HN6476,GJ9,channel_tropism,channel_tropism
142,HN6476,GJ7,channel_tropism,channel_tropism
143,HN6476,GJ4,channel_tropism,channel_tropism
144,HN6476,GJ1,channel_tropism,channel_tropism
145,HN6918,GJ8,channel_tropism,channel_tropism
146,HN6918,GJ2,channel_tropism,channel_tropism
147,HN6918,GJ10,channel_tropism,channel_tropism
148,HN8817,GJ5,channel_tropism,channel_tropism
149,HN8817,GJ3,channel_tropism,channel_tropism
150,HN8817,GJ1,channel_tropism,channel_tropism
151,HN3105,GJ7,channel_tropism,channel_tropism
152,HN3105,GJ6,channel_tropism,channel_tropism
153,HN3105,GJ2,channel_tropism,channel_tropism
154,HN3788,GJ2,channel_tropism,channel_tropism
155,HN3788,GJ1,channel_tropism,channel_tropism
156,HN7018,GJ6,channel_tropism,channel_tropism
157,HN7018,GJ2,channel_tropism,channel_tropism
158,HN7018,GJ1,channel_tropism,channel_tropism
159,HN2791,GJ6,channel_tropism,channel_tropism
160,HN2791,GJ4,channel_tropism,channel_tropism
161,HN2791,GJ3,channel_tropism,channel_tropism
162,HN7845,GJ7,channel_tropism,channel_tropism
163,HN7845,GJ2,channel_tropism,channel_tropism
164,HN7971,GJ6,channel_tropism,channel_tropism
165,HN7971,GJ4,channel_tropism,channel_tropism
166,HN7971,GJ2,channel_tropism,channel_tropism
167,HN2980,GJ6,channel_tropism,channel_tropism
168,HN2980,GJ3,channel_tropism,channel_tropism
169,HN2980,GJ1,channel_tropism,channel_tropism
170,HN16,GJ7,channel_tropism,channel_tropism
171,HN16,GJ4,channel_tropism,channel_tropism
172,HN6323,GJ2,channel_tropism,channel_tropism
173,HN6323,GJ1,channel_tropism,channel_tropism
174,HN3285,GJ8,channel_tropism,channel_tropism
175,HN3285,GJ6,channel_tropism,channel_tropism
176,HN3285,GJ1,channel_tropism,channel_tropism
177,HN6079,GJ3,channel_tropism,channel_tropism
178,HN6079,GJ2,channel_tropism,channel_tropism
179,HN6079,GJ1,channel_tropism,channel_tropism
180,HN7102,GJ4,channel_tropism,channel_tropism
181,HN230,GJ4,channel_tropism,channel_tropism
182,HN230,GJ3,channel_tropism,channel_tropism
183,HN8630,GJ3,channel_tropism,channel_tropism
184,HN8630,GJ2,channel_tropism,channel_tropism
185,HN8261,GJ8,channel_tropism,channel_tropism
186,HN8261,GJ4,channel_tropism,channel_tropism
187,HN8261,GJ1,channel_tropism,channel_tropism
188,HN7857,GJ2,channel_tropism,channel_tropism
189,HN7857,GJ1,channel_tropism,channel_tropism
190,HN5069,GJ5,channel_tropism,channel_tropism
191,HN5069,GJ4,channel_tropism,channel_tropism
192,HN5069,GJ2,channel_tropism,channel_tropism
193,HN7142,GJ5,channel_tropism,channel_tropism
194,HN7142,GJ2,channel_tropism,channel_tropism
195,HN7142,GJ1,channel_tropism,channel_tropism
196,HN1896,GJ7,channel_tropism,channel_tropism
197,HN1896,GJ2,channel_tropism,channel_tropism
198,HN1678,GJ6,channel_tropism,channel_tropism
199,HN1678,GJ3,channel_tropism,channel_tropism
200,HN1678,GJ2,channel_tropism,channel_tropism
201,HN5775,GJ6,channel_tropism,channel_tropism
202,HN5775,GJ5,channel_tropism,channel_tropism
203,HN5775,GJ4,channel_tropism,channel_tropism
204,HN5775,GJ3,channel_tropism,channel_tropism
205,HN1335,GJ8,channel_tropism,channel_tropism
206,HN1335,GJ3,channel_tropism,channel_tropism
207,HN1133,GJ6,channel_tropism,channel_tropism
208,HN1133,GJ4,channel_tropism,channel_tropism
209,HN1133,GJ2,channel_tropism,channel_tropism
210,HN4679,GJ6,channel_tropism,channel_tropism
211,HN4679,GJ4,channel_tropism,channel_tropism
212,HN4679,GJ3,channel_tropism,channel_tropism
213,HN5885,GJ9,channel_tropism,channel_tropism
214,HN5885,GJ5,channel_tropism,channel_tropism
215,HN5274,GJ2,channel_tropism,channel_tropism
216,HN7032,GJ5,channel_tropism,channel_tropism
217,HN7032,GJ2,channel_tropism,channel_tropism
218,HN2078,GJ5,channel_tropism,channel_tropism
219,HN2078,GJ2,channel_tropism,channel_tropism
220,HN5622,GJ3,channel_tropism,channel_tropism
221,HN5622,GJ2,channel_tropism,channel_tropism
222,HN2598,GJ4,channel_tropism,channel_tropism
223,HN1845,GJ7,channel_tropism,channel_tropism
224,HN1893,GJ9,channel_tropism,channel_tropism
225,HN1893,GJ3,channel_tropism,channel_tropism
226,HN1893,GJ2,channel_tropism,channel_tropism
227,HN9055,GJ9,channel_tropism,channel_tropism
228,HN9055,GJ4,channel_tropism,channel_tropism
229,HN5652,GJ6,channel_tropism,channel_tropism
230,HN5652,GJ4,channel_tropism,channel_tropism
231,HN5652,GJ3,channel_tropism,channel_tropism
232,HN5652,GJ2,channel_tropism,channel_tropism
233,HN1019,GJ5,channel_tropism,channel_tropism
234,HN1019,GJ4,channel_tropism,channel_tropism
235,HN1019,GJ3,channel_tropism,channel_tropism
236,HN1019,GJ1,channel_tropism,channel_tropism
237,HN8131,GJ4,channel_tropism,channel_tropism
238,HN3233,GJ5,channel_tropism,channel_tropism
239,HN3233,GJ3,channel_tropism,channel_tropism
240,HN3233,GJ1,channel_tropism,channel_tropism
241,HN4923,GJ6,channel_tropism,channel_tropism
242,HN4923,GJ4,channel_tropism,channel_tropism
243,HN4923,GJ3,channel_tropism,channel_tropism
244,HN4923,GJ1,channel_tropism,channel_tropism
245,HN6444,GJ6,channel_tropism,channel_tropism
246,HN6444,GJ3,channel_tropism,channel_tropism
247,HN3394,GJ7,channel_tropism,channel_tropism
248,HN3394,GJ6,channel_tropism,channel_tropism
249,HN3394,GJ4,channel_tropism,channel_tropism
250,HN1615,GJ6,channel_tropism,channel_tropism
251,HN1615,GJ5,channel_tropism,channel_tropism
252,HN1615,GJ4,channel_tropism,channel_tropism
253,HN1615,GJ3,channel_tropism,channel_tropism
254,HN1615,GJ1,channel_tropism,channel_tropism
255,HN1777,GJ9,channel_tropism,channel_tropism
256,HN1777,GJ4,channel_tropism,channel_tropism
257,HN5365,GJ6,channel_tropism,channel_tropism
258,HN5365,GJ3,channel_tropism,channel_tropism
259,HN5454,GJ9,channel_tropism,channel_tropism
260,HN2333,GJ6,channel_tropism,channel_tropism
261,HN2333,GJ4,channel_tropism,channel_tropism
262,HN2333,GJ3,channel_tropism,channel_tropism
263,HN5162,GJ11,channel_tropism,channel_tropism
264,HN5162,GJ2,channel_tropism,channel_tropism
265,HN5109,GJ6,channel_tropism,channel_tropism
266,HN7588,GJ5,channel_tropism,channel_tropism
267,HN7588,GJ2,channel_tropism,channel_tropism
268,HN585,GJ4,channel_tropism,channel_tropism
269,HN585,GJ2,channel_tropism,channel_tropism
270,HN5612,GJ5,channel_tropism,channel_tropism
271,HN5612,GJ2,channel_tropism,channel_tropism
272,HN5833,GJ7,channel_tropism,channel_tropism
273,HN5833,GJ6,channel_tropism,channel_tropism
274,HN5833,GJ4,channel_tropism,channel_tropism
275,HN5993,GJ6,channel_tropism,channel_tropism
276,HN5993,GJ4,channel_tropism,channel_tropism
277,HN5993,GJ3,channel_tropism,channel_tropism
278,HN2293,GJ9,channel_tropism,channel_tropism
279,HN2293,GJ5,channel_tropism,channel_tropism
280,HN2293,GJ2,channel_tropism,channel_tropism
281,HN6241,GJ9,channel_tropism,channel_tropism
282,HN6241,GJ4,channel_tropism,channel_tropism
283,HN6241,GJ1,channel_tropism,channel_tropism
284,HN5698,GJ2,channel_tropism,channel_tropism
285,HN8125,GJ9,channel_tropism,channel_tropism
286,HN8125,GJ8,channel_tropism,channel_tropism
287,HN3058,GJ6,channel_tropism,channel_tropism
288,HN3058,GJ5,channel_tropism,channel_tropism
289,HN3058,GJ2,channel_tropism,channel_tropism
290,HN8976,GJ7,channel_tropism,channel_tropism
291,HN8976,GJ4,channel_tropism,channel_tropism
292,HN2341,GJ2,channel_tropism,channel_tropism
293,HN2341,GJ1,channel_tropism,channel_tropism
294,HN5658,GJ4,channel_tropism,channel_tropism
295,HN5658,GJ2,channel_tropism,channel_tropism
296,HN5658,GJ1,channel_tropism,channel_tropism
297,HN226,GJ5,channel_tropism,channel_tropism
298,HN226,GJ2,channel_tropism,channel_tropism
299,HN226,GJ1,channel_tropism,channel_tropism
300,HN1104,GJ6,channel_tropism,channel_tropism
301,HN1104,GJ3,channel_tropism,channel_tropism
302,HN1104,GJ2,channel_tropism,channel_tropism
303,HN1677,GJ5,channel_tropism,channel_tropism
304,HN1677,GJ3,channel_tropism,channel_tropism
305,HN1780,GJ7,channel_tropism,channel_tropism
306,HN1780,GJ5,channel_tropism,channel_tropism
307,HN1780,GJ2,channel_tropism,channel_tropism
308,HN6467,GJ5,channel_tropism,channel_tropism
309,HN6467,GJ4,channel_tropism,channel_tropism
310,HN6467,GJ3,channel_tropism,channel_tropism
311,HN6467,GJ1,channel_tropism,channel_tropism
312,HN3586,GJ2,channel_tropism,channel_tropism
313,HN3586,GJ1,channel_tropism,channel_tropism
314,HN2900,GJ4,channel_tropism,channel_tropism
315,HN2900,GJ1,channel_tropism,channel_tropism
316,HN4701,GJ7,channel_tropism,channel_tropism
317,HN4701,GJ6,channel_tropism,channel_tropism
318,HN4701,GJ4,channel_tropism,channel_tropism
319,HN4701,GJ3,channel_tropism,channel_tropism
320,HN6143,GJ7,channel_tropism,channel_tropism
321,HN6143,GJ6,channel_tropism,channel_tropism
322,HN6143,GJ2,channel_tropism,channel_tropism
323,HN1663,GJ7,channel_tropism,channel_tropism
324,HN1663,GJ6,channel_tropism,channel_tropism
325,HN1565,GJ5,channel_tropism,channel_tropism
326,HN7180,GJ5,channel_tropism,channel_tropism
327,HN7180,GJ2,channel_tropism,channel_tropism
328,HN2867,GJ4,channel_tropism,channel_tropism
329,HN2867,GJ2,channel_tropism,channel_tropism
330,HN2867,GJ10,channel_tropism,channel_tropism
331,HN2552,GJ6,channel_tropism,channel_tropism
332,HN2552,GJ5,channel_tropism,channel_tropism
333,HN2552,GJ3,channel_tropism,channel_tropism
334,HN3786,GJ4,channel_tropism,channel_tropism
335,HN3786,GJ3,channel_tropism,channel_tropism
336,HN1697,GJ7,channel_tropism,channel_tropism
337,HN1697,GJ2,channel_tropism,channel_tropism
338,HN5813,GJ7,channel_tropism,channel_tropism
339,HN5813,GJ2,channel_tropism,channel_tropism
340,HN6831,GJ9,channel_tropism,channel_tropism
341,HN6831,GJ5,channel_tropism,channel_tropism
342,HN7895,GJ5,channel_tropism,channel_tropism
343,HN7895,GJ4,channel_tropism,channel_tropism
344,HN7895,GJ3,channel_tropism,channel_tropism
345,HN5749,GJ7,channel_tropism,channel_tropism
346,HN5749,GJ6,channel_tropism,channel_tropism
347,HN5749,GJ3,channel_tropism,channel_tropism
348,HN5749,GJ2,channel_tropism,channel_tropism
349,HN5749,GJ10,channel_tropism,channel_tropism
350,HN5749,GJ1,channel_tropism,channel_tropism
351,HN8079,GJ4,channel_tropism,channel_tropism
352,HN8079,GJ3,channel_tropism,channel_tropism
353,HN5565,GJ8,channel_tropism,channel_tropism
354,HN5565,GJ7,channel_tropism,channel_tropism
355,HN5565,GJ4,channel_tropism,channel_tropism
356,HN5565,GJ3,channel_tropism,channel_tropism
357,HN5565,GJ10,channel_tropism,channel_tropism
358,HN8460,GJ6,channel_tropism,channel_tropism
359,HN8460,GJ1,channel_tropism,channel_tropism
360,HN7742,GJ9,channel_tropism,channel_tropism
361,HN7742,GJ5,channel_tropism,channel_tropism
362,HN889,GJ7,channel_tropism,channel_tropism
363,HN889,GJ6,channel_tropism,channel_tropism
364,HN889,GJ3,channel_tropism,channel_tropism
365,HN4506,GJ6,channel_tropism,channel_tropism
366,HN4506,GJ2,channel_tropism,channel_tropism
367,HN412,GJ7,channel_tropism,channel_tropism
368,HN412,GJ2,channel_tropism,channel_tropism
369,HN7865,GJ5,channel_tropism,channel_tropism
370,HN7865,GJ2,channel_tropism,channel_tropism
371,HN8338,GJ5,channel_tropism,channel_tropism
372,HN8338,GJ3,channel_tropism,channel_tropism
373,HN8338,GJ2,channel_tropism,channel_tropism
374,HN3077,GJ4,channel_tropism,channel_tropism
375,HN3077,GJ2,channel_tropism,channel_tropism
376,HN3564,GJ2,channel_tropism,channel_tropism
377,HN1693,GJ3,channel_tropism,channel_tropism
378,HN1693,GJ2,channel_tropism,channel_tropism
379,HN3780,GJ3,channel_tropism,channel_tropism
380,HN3780,GJ2,channel_tropism,channel_tropism
381,HN3938,GJ12,channel_tropism,channel_tropism
382,HN3938,GJ4,channel_tropism,channel_tropism
383,HN3938,GJ1,channel_tropism,channel_tropism
384,HN1009,GJ4,channel_tropism,channel_tropism
385,HN3945,GJ7,channel_tropism,channel_tropism
386,HN3945,GJ4,channel_tropism,channel_tropism
387,HN7653,GJ7,channel_tropism,channel_tropism
