:START_ID,:END_ID,relation,:TYPE
HN3126,ETCM_Target_Genes_id_536,target_is,target
HN3126,ETCM_Target_Genes_id_296,target_is,target
HN3126,ETCM_Target_Genes_id_745,target_is,target
HN3126,ETCM_Target_Genes_id_1451,target_is,target
HN3126,ETCM_Target_Genes_id_1561,target_is,target
HN3126,ETCM_Target_Genes_id_1328,target_is,target
HN3126,ETCM_Target_Genes_id_1539,target_is,target
HN3126,ETCM_Target_Genes_id_195,target_is,target
HN3126,ETCM_Target_Genes_id_1482,target_is,target
HN3126,ETCM_Target_Genes_id_196,target_is,target
HN3126,ETCM_Target_Genes_id_467,target_is,target
HN3126,ETCM_Target_Genes_id_635,target_is,target
HN3126,ETCM_Target_Genes_id_197,target_is,target
HN3126,ETCM_Target_Genes_id_331,target_is,target
HN3126,ETCM_Target_Genes_id_476,target_is,target
HN3126,ETCM_Target_Genes_id_639,target_is,target
HN3126,ETCM_Target_Genes_id_477,target_is,target
HN3126,ETCM_Target_Genes_id_1747,target_is,target
HN3126,ETCM_Target_Genes_id_303,target_is,target
HN3126,ETCM_Target_Genes_id_1036,target_is,target
HN3126,ETCM_Target_Genes_id_1340,target_is,target
HN3126,ETCM_Target_Genes_id_1918,target_is,target
HN3126,ETCM_Target_Genes_id_1715,target_is,target
HN3126,ETCM_Target_Genes_id_1453,target_is,target
HN3126,ETCM_Target_Genes_id_23,target_is,target
HN3126,ETCM_Target_Genes_id_1230,target_is,target
HN3126,ETCM_Target_Genes_id_671,target_is,target
HN3126,ETCM_Target_Genes_id_350,target_is,target
HN3126,ETCM_Target_Genes_id_2027,target_is,target
HN3126,ETCM_Target_Genes_id_1194,target_is,target
HN3126,ETCM_Target_Genes_id_1096,target_is,target
HN3126,ETCM_Target_Genes_id_391,target_is,target
HN3126,ETCM_Target_Genes_id_944,target_is,target
HN3126,ETCM_Target_Genes_id_392,target_is,target
HN3126,ETCM_Target_Genes_id_1358,target_is,target
HN3126,ETCM_Target_Genes_id_249,target_is,target
HN3126,ETCM_Target_Genes_id_827,target_is,target
HN3126,ETCM_Target_Genes_id_1055,target_is,target
HN3126,ETCM_Target_Genes_id_672,target_is,target
HN3126,ETCM_Target_Genes_id_1497,target_is,target
HN3126,ETCM_Target_Genes_id_1085,target_is,target
HN3126,ETCM_Target_Genes_id_722,target_is,target
HN3126,ETCM_Target_Genes_id_1429,target_is,target
HN3126,ETCM_Target_Genes_id_2072,target_is,target
HN3126,ETCM_Target_Genes_id_1168,target_is,target
HN3126,ETCM_Target_Genes_id_207,target_is,target
HN3126,ETCM_Target_Genes_id_208,target_is,target
HN3126,ETCM_Target_Genes_id_209,target_is,target
HN3126,ETCM_Target_Genes_id_1786,target_is,target
HN3126,ETCM_Target_Genes_id_1555,target_is,target
HN3126,ETCM_Target_Genes_id_210,target_is,target
HN3126,ETCM_Target_Genes_id_1600,target_is,target
HN3126,ETCM_Target_Genes_id_686,target_is,target
HN3126,ETCM_Target_Genes_id_1203,target_is,target
HN3126,ETCM_Target_Genes_id_2088,target_is,target
HN3126,ETCM_Target_Genes_id_687,target_is,target
HN3126,ETCM_Target_Genes_id_1723,target_is,target
HN3126,ETCM_Target_Genes_id_930,target_is,target
HN3126,ETCM_Target_Genes_id_931,target_is,target
HN3126,ETCM_Target_Genes_id_152,target_is,target
HN3126,ETCM_Target_Genes_id_375,target_is,target
HN3126,ETCM_Target_Genes_id_1024,target_is,target
HN3126,ETCM_Target_Genes_id_370,target_is,target
HN3126,ETCM_Target_Genes_id_821,target_is,target
HN3126,ETCM_Target_Genes_id_1094,target_is,target
HN3126,ETCM_Target_Genes_id_1576,target_is,target
HN3126,ETCM_Target_Genes_id_1926,target_is,target
HN3126,ETCM_Target_Genes_id_473,target_is,target
HN3126,ETCM_Target_Genes_id_1637,target_is,target
HN3126,ETCM_Target_Genes_id_684,target_is,target
HN3126,ETCM_Target_Genes_id_1628,target_is,target
HN3126,ETCM_Target_Genes_id_300,target_is,target
HN3126,ETCM_Target_Genes_id_1795,target_is,target
HN3126,ETCM_Target_Genes_id_150,target_is,target
HN3126,ETCM_Target_Genes_id_88,target_is,target
HN3126,ETCM_Target_Genes_id_652,target_is,target
HN3126,ETCM_Target_Genes_id_1378,target_is,target
HN3126,ETCM_Target_Genes_id_529,target_is,target
HN3126,ETCM_Target_Genes_id_883,target_is,target
HN3126,ETCM_Target_Genes_id_612,target_is,target
HN3126,ETCM_Target_Genes_id_530,target_is,target
HN3126,ETCM_Target_Genes_id_232,target_is,target
HN3126,ETCM_Target_Genes_id_613,target_is,target
HN3126,ETCM_Target_Genes_id_675,target_is,target
HN3126,ETCM_Target_Genes_id_531,target_is,target
HN3126,ETCM_Target_Genes_id_1084,target_is,target
HN3126,ETCM_Target_Genes_id_1360,target_is,target
HN3126,ETCM_Target_Genes_id_614,target_is,target
HN3126,ETCM_Target_Genes_id_304,target_is,target
HN3126,ETCM_Target_Genes_id_615,target_is,target
HN3126,ETCM_Target_Genes_id_153,target_is,target
HN3126,ETCM_Target_Genes_id_1115,target_is,target
HN3126,ETCM_Target_Genes_id_1264,target_is,target
HN3126,ETCM_Target_Genes_id_189,target_is,target
HN3126,ETCM_Target_Genes_id_36,target_is,target
HN3126,ETCM_Target_Genes_id_958,target_is,target
HN3126,ETCM_Target_Genes_id_1927,target_is,target
HN3126,ETCM_Target_Genes_id_835,target_is,target
HN3126,ETCM_Target_Genes_id_692,target_is,target
HN3126,ETCM_Target_Genes_id_308,target_is,target
HN3126,ETCM_Target_Genes_id_1221,target_is,target
HN3126,ETCM_Target_Genes_id_1222,target_is,target
HN3126,ETCM_Target_Genes_id_737,target_is,target
HN3126,ETCM_Target_Genes_id_807,target_is,target
HN3126,ETCM_Target_Genes_id_479,target_is,target
HN3126,ETCM_Target_Genes_id_2095,target_is,target
HN3126,ETCM_Target_Genes_id_1209,target_is,target
HN3126,ETCM_Target_Genes_id_721,target_is,target
HN3126,ETCM_Target_Genes_id_76,target_is,target
HN3126,ETCM_Target_Genes_id_2066,target_is,target
HN3126,ETCM_Target_Genes_id_591,target_is,target
HN3126,ETCM_Target_Genes_id_1395,target_is,target
HN3126,ETCM_Target_Genes_id_501,target_is,target
HN3126,ETCM_Target_Genes_id_1223,target_is,target
HN3126,ETCM_Target_Genes_id_117,target_is,target
HN3126,ETCM_Target_Genes_id_2010,target_is,target
HN3126,ETCM_Target_Genes_id_667,target_is,target
