:START_ID,:END_ID,relation,:TYPE
ETCM_XHCF_2676,292,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,18518,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,6335,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,4790,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,10888,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19128,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,3641,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,5306,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,20314,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,4936,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,10991,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,264,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,17252,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,6380,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19013,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,13662,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,983,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19599,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,16246,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,14071,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,6999,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,15676,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,6041,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,14197,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,1353,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,21077,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,13210,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,17646,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,20582,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,7741,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,6438,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,14572,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,11854,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,22,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,8562,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,15394,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,16958,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,13589,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,11609,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,16520,chemical_protein_link,chemical_protein_link
